@relation page

@attribute class {none,title,pages,authors,veditor,vtitle}
@attribute fontsize numeric
@attribute weight numeric
@attribute style numeric
@attribute replaced numeric
@attribute nlines numeric
@attribute depth numeric
@attribute tlength numeric
@attribute pdigits numeric
@attribute plower numeric
@attribute pupper numeric
@attribute pspaces numeric
@attribute ppunct numeric
@attribute relx numeric
@attribute rely numeric

@data
none,1,0.117133,0.399552,0,92,3,4472,0.067308,0.6572,0.117844,0.114267,0.026834,?,?
none,1.183987,1,0,0,1,1,20,0.2,0.25,0.35,0,0.05,0.940877,0.003583
none,1.183987,1,0,0,1,0,12,0,0.25,0.5,0,0.083333,0.869934,0.003583
none,1.183987,1,0,0,1,0,8,0.5,0.25,0.125,0,0,0.947842,0.003583
none,0.997041,1,0,0,1,0,22,0.409091,0.363636,0,0,0.136364,0.94246,0.013911
none,0.685466,0,0,0,2,1,182,0.021978,0.78022,0.016484,0.153846,0.016484,0.817829,0.027124
none,0.685466,0,0,0,1,0,141,0.028369,0.758865,0.021277,0.163121,0.014184,0.817829,0.026963
none,0.685466,0,0,0,1,0,41,0,0.853659,0,0.121951,0.02439,0.42327,0.03291
none,0,0,0,0,1,0,0,0,0,0,0,0,1,0.043032
none,1.994083,1,0,0,1,0,7,0.571429,0,0.285714,0,0,0.030246,0.053643
vtitle,1.994083,1,0,0,1,0,17,0,0.823529,0.117647,0.058824,0,0.035398,0.070056
none,1.183987,1,0,0,2,1,142,0.049296,0.704225,0.091549,0.133803,0,0.065574,0.103379
none,1.183987,1,0,0,1,0,66,0.015152,0.787879,0.075758,0.121212,0,0.057971,0.102309
none,1.183987,1,0,0,1,0,76,0.078947,0.631579,0.105263,0.144737,0,0.065574,0.112659
none,1.183987,1,0,0,1,0,37,0.162162,0.513514,0.081081,0.135135,0.108108,0.037253,0.128981
none,0.997041,1,0,0,1,0,9,0,0.777778,0.111111,0.111111,0,0.028571,0.145072
none,1.183987,1,0,0,5,1,185,0,0.594595,0.216216,0.118919,0.059459,0.043478,0.174419
veditor,1.183987,1,0,0,1,0,13,0,0.769231,0.153846,0.076923,0,0.03016,0.167197
none,1.183987,1,0,0,1,0,37,0,0.675676,0.135135,0.108108,0.081081,0.188005,0.167197
veditor,1.183987,1,0,0,1,0,14,0,0.785714,0.142857,0.071429,0,0.03071,0.177548
none,1.183987,1,0,0,1,0,21,0,0.238095,0.428571,0.190476,0.095238,0.181637,0.177548
veditor,1.183987,1,0,0,1,0,16,0,0.8125,0.125,0.0625,0,0.03074,0.187898
none,1.183987,1,0,0,1,0,19,0,0.368421,0.368421,0.157895,0.105263,0.182271,0.187898
veditor,1.183987,1,0,0,1,0,8,0,0.625,0.25,0.125,0,0.029064,0.198248
none,1.183987,1,0,0,1,0,11,0,0.272727,0.363636,0.181818,0.181818,0.11326,0.198248
veditor,1.183987,1,0,0,1,0,20,0,0.75,0.15,0.05,0,0.032291,0.208599
none,1.183987,1,0,0,1,0,26,0,0.615385,0.153846,0.153846,0.076923,0.242708,0.208599
none,0,0,0,0,1,0,0,0,0,0,0,0,1,0.222661
none,1.495562,1,0,0,1,0,17,0,0.764706,0.117647,0.117647,0,0.032389,0.233347
none,0.997041,0,0,0,1,1,7,0,0.857143,0.142857,0,0,0.063325,0.251987
none,0.997041,0,0,0,1,0,7,0,0.857143,0.142857,0,0,0.063325,0.251987
none,1.183987,1,0,0,1,0,16,0,0.875,0.0625,0.0625,0,0.031038,0.26672
none,0.988244,0,0.458824,0,2,2,85,0.035294,0.741176,0.082353,0.105882,0.011765,0.947368,0.28497
none,0.997041,0,0.481481,0,2,1,81,0,0.777778,0.08642,0.111111,0.012346,0.082569,0.28497
title,0.997041,0,0,0,1,0,42,0,0.857143,0.02381,0.119048,0,0.080447,0.282591
authors,0.997041,0,1,0,1,0,39,0,0.692308,0.153846,0.102564,0.025641,0.082569,0.290938
pages,0.810096,0,0,0,1,0,4,0.75,0,0,0,0,0.996572,0.291385
none,0.997041,0,0.395062,0,2,1,162,0,0.777778,0.061728,0.12963,0.030864,0.137931,0.304609
title,0.997041,0,0,0,1,0,98,0,0.846939,0.010204,0.132653,0.010204,0.137931,0.302067
authors,0.997041,0,1,0,1,0,64,0,0.671875,0.140625,0.125,0.0625,0.100418,0.310413
none,0.810096,0,0,0,4,1,20,0.8,0,0,0,0,0.996552,0.330101
pages,0.810096,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.310838
pages,0.810096,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.33029
pages,0.810096,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.349742
pages,0.810096,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.369194
none,0.997041,0,0.313559,0,2,1,118,0,0.805085,0.059322,0.09322,0.025424,0.110599,0.324248
title,0.997041,0,0,0,1,0,81,0,0.864198,0.012346,0.08642,0.024691,0.110599,0.321542
authors,0.997041,0,1,0,1,0,37,0,0.675676,0.162162,0.108108,0.027027,0.079646,0.329889
none,0.997041,0,0.470149,0,2,1,134,0,0.738806,0.097015,0.134328,0.029851,0.105572,0.343888
title,0.997041,0,0,0,1,0,71,0,0.760563,0.070423,0.15493,0.014085,0.105572,0.341017
authors,0.997041,0,1,0,1,0,63,0,0.714286,0.126984,0.111111,0.047619,0.100139,0.349364
none,0.997041,0,0.555556,0,2,1,117,0,0.794872,0.076923,0.102564,0.025641,0.099585,0.363527
title,0.997041,0,0,0,1,0,52,0,0.884615,0.019231,0.096154,0,0.08802,0.360493
authors,0.997041,0,1,0,1,0,65,0,0.723077,0.123077,0.107692,0.046154,0.099585,0.368839
none,1.183987,1,0,0,1,0,11,0,0.545455,0.363636,0.090909,0,0.02974,0.383758
none,0.997041,0,0.827089,0,4,2,347,0.011527,0.70317,0.121037,0.115274,0.04611,0.269663,0.409702
title,0.997041,0,0,0,1,0,60,0.066667,0.733333,0.083333,0.116667,0,0.09172,0.399444
none,0.997041,0,1,0,3,1,287,0,0.696864,0.12892,0.114983,0.055749,0.269663,0.414713
authors,0.997041,0,1,0,1,0,123,0,0.691057,0.130081,0.121951,0.056911,0.245734,0.40779
authors,0.997041,0,1,0,1,0,125,0,0.696,0.128,0.112,0.056,0.269663,0.416137
authors,0.997041,0,1,0,1,0,39,0,0.717949,0.128205,0.102564,0.051282,0.080447,0.424483
none,0.810096,0,0,0,2,1,13,0.846154,0,0,0,0,0.99651,0.423394
pages,0.810096,0,0,0,1,0,6,0.833333,0,0,0,0,0.996531,0.408098
pages,0.810096,0,0,0,1,0,7,0.857143,0,0,0,0,0.99651,0.444224
none,0.997041,0,0.661157,0,2,1,121,0.033058,0.636364,0.157025,0.123967,0.049587,0.11784,0.439279
title,0.997041,0,0,0,1,0,41,0.097561,0.634146,0.170732,0.097561,0,0.081356,0.435612
